timestamp,2a. high (CNY),1b. open (USD),4b. close (USD),5. volume,1a. open (CNY),3a. low (CNY),6. market cap (USD),4a. close (CNY),2b. high (USD),3b. low (USD)
2014-07-16,3830.24950952,615.52607308,610.63185019,75083.20582199,3816.39214464,3777.38360963,45848196.88902408,3784.48248631,617.58594600,609.48643593
2014-07-17,3873.04424912,610.35911588,620.28822054,92489.69514798,3782.79217453,3779.72148880,57370268.42131959,3843.84422462,624.95792500,609.84810901
2014-07-18,3882.83450125,620.06661743,626.28868078,93947.08506098,3842.47097941,3820.45206645,58837995.96609545,3882.83450125,626.28868078,616.22659526
2014-07-19,3888.36326409,627.01378677,623.53130080,75737.57328148,3887.32997858,3852.02024127,47224747.58762439,3865.01613289,627.16831317,621.30641427
2014-07-20,3864.17206041,623.38843772,616.96526837,58126.80150240,3864.13058296,3828.11111877,35862217.68850614,3829.31833120,623.38843772,616.63763745
2014-07-21,3841.35730696,617.15131748,618.11778553,62116.86611772,3830.47308218,3812.84660940,38395539.72899492,3833.11527990,619.67870477,615.04172377
2014-07-22,3852.46138271,618.14948626,618.74375180,58390.95074702,3833.31186466,3827.47742619,36129035.93625972,3833.45599522,621.38608676,617.72094507
2014-07-23,3841.24433220,618.92686137,619.24954237,38857.37592623,3834.59045917,3828.93107797,24062412.26018250,3834.30585220,620.28397093,618.08503156
2014-07-24,3835.90428909,619.27634318,599.91115333,109843.56557021,3834.47179902,3693.72473982,65896380.10695712,3712.28441173,620.04263289,596.86172440
2014-07-25,3753.20532196,599.48168863,599.62508651,85889.63480448,3709.62685972,3697.66178835,51501579.69963881,3709.06551972,606.52022757,597.47434743
2014-07-26,3720.37969062,599.92896513,594.47498568,73214.75606134,3710.94520381,3661.39538700,43524341.06103388,3677.51678293,601.40382596,591.86894275
2014-07-27,3700.01334033,594.57700543,593.48367815,69615.58046795,3678.14789335,3665.25685179,41315710.75234406,3671.43602999,598.07996661,592.46183565
2014-07-28,3681.43187223,593.51430464,584.37260482,114040.81442933,3671.62549301,3566.44105341,66642327.78346294,3612.96894768,595.06679002,576.76681375
2014-07-29,3629.36485873,584.53722001,583.78473776,94185.00552097,3613.98670513,3571.89691415,54983768.74922766,3606.14107127,587.30475718,578.24107880
2014-07-30,3605.41590904,583.53075026,564.82244282,96800.39789374,3604.57214578,3474.90068748,54675037.20469565,3485.03298254,583.66734395,563.18029261
2014-07-31,3636.96463712,565.00842209,583.16916330,187336.47485743,3486.18050046,3473.44607528,109248855.29845990,3599.50377418,589.31472047,562.94454230
2014-08-01,3694.83413669,584.04836267,595.26343049,152126.31044221,3604.93046964,3604.17634041,90555229.42155388,3677.88213109,598.35671024,583.92618335
2014-08-02,3676.38480066,595.02108829,587.16122287,127127.38430940,3676.38480066,3605.52944800,74644270.43162815,3627.60827457,595.02108829,583.58756502
2014-08-03,3633.03290246,587.27446884,585.68183189,106291.76489086,3628.30793248,3565.37924038,62253155.57591864,3617.99094831,588.08922145,577.13793350
2014-08-04,3643.75153702,585.99253138,588.09906811,80763.82678005,3619.91026337,3604.44396969,47497131.26642019,3632.32332230,589.92454425,583.51529025
2014-08-05,3631.86754647,587.91650044,585.83428149,94211.08789785,3631.19571501,3589.78186696,55192084.98665681,3614.37138474,588.02527475,581.38883396
2014-08-06,3630.60283317,586.31702248,586.87556306,78014.77324211,3617.34971033,3603.22290479,45784963.97326608,3616.89942323,588.45933265,584.63744820
2014-08-07,3642.18664834,586.30788793,590.08814268,67657.85301801,3613.40085559,3606.35914587,39924096.82497112,3636.28422924,591.03062838,585.17012105
2014-08-08,3725.90859104,590.12989838,594.01647811,105573.03840281,3636.54153929,3636.54153929,62712124.45567255,3657.66537422,604.62610213,590.12989838
2014-08-09,3656.65128985,593.85178759,588.27688877,62625.30487488,3656.65128985,3610.32783619,36841019.51011175,3621.63077658,593.85178759,586.44090409
2014-08-10,3656.58224785,588.25844670,591.34389723,88743.02576387,3621.51724099,3611.96566665,52477646.70736179,3640.26572385,594.03303829,586.78481536
2014-08-11,3642.94273055,591.70628797,574.01122738,99787.78846730,3642.49657221,3512.80362686,57279310.93518810,3532.88986158,591.77391745,570.74212434
2014-08-12,3544.49562499,572.66083484,565.98310931,139736.49857800,3524.57854659,3445.03416280,79088497.94937128,3485.03873165,575.90063285,559.51348029
2014-08-13,3516.94313793,566.17847261,542.04888358,179542.16903903,3486.24168039,3225.38350547,97320632.28233857,3336.53582869,571.16450225,524.03039591
2014-08-14,3338.08089776,542.29989331,503.81347060,251956.02852968,3338.08089776,3049.95800884,126938841.17160901,3100.17639006,542.29989331,495.56061088
2014-08-15,3162.54980602,507.42686826,492.95283869,209899.69574783,3122.41114714,2984.97210750,103470650.85990971,3032.10213666,513.92847009,485.29053689
2014-08-16,3211.15563763,493.08319523,519.42441109,211798.31686581,3032.90394628,2970.30738113,110013216.00704506,3194.75879722,522.09031475,482.93165779
